age,gender,education,income,employment_experience,home_ownership,loan_amount,loan_purpose,interest_rate,loan_to_income_ratio,credit_history_years,credit_score,previous_defaults,loan_status
26.00,male,Associate,256862.00,2,MORTGAGE,35000.00,EDUCATION,10.65,0.14,2,643,No,1
24.00,male,High School,271342.00,0,RENT,6000.00,MEDICAL,11.01,0.02,4,508,Yes,0
24.00,male,High School,16470.00,2,MORTGAGE,4500.00,DEBTCONSOLIDATION,11.83,0.27,4,643,No,1
23.00,male,High School,16599.00,0,OWN,2400.00,DEBTCONSOLIDATION,13.49,0.14,2,505,No,1
22.00,male,Bachelor,51608.00,0,RENT,25000.00,MEDICAL,14.59,0.48,2,593,No,1
26.00,female,Master,58516.00,6,RENT,25000.00,EDUCATION,9.64,0.43,4,686,No,1
25.00,female,Associate,16395.00,4,OWN,3600.00,MEDICAL,14.59,0.22,3,646,No,1
22.00,female,Bachelor,16890.00,0,OWN,4750.00,EDUCATION,11.01,0.28,3,645,No,1
25.00,female,Associate,51747.00,3,RENT,25000.00,EDUCATION,16.35,0.48,3,697,No,1
21.00,male,High School,59864.00,0,RENT,25000.00,EDUCATION,10.99,0.42,2,648,No,1
25.00,male,Master,270972.00,1,MORTGAGE,25000.00,VENTURE,18.67,0.09,2,640,Yes,0
26.00,male,Bachelor,270870.00,5,RENT,3000.00,EDUCATION,9.32,0.01,4,681,No,0
23.00,female,Associate,270729.00,0,RENT,7500.00,DEBTCONSOLIDATION,8.63,0.03,2,646,No,0
26.00,male,Bachelor,270877.00,4,MORTGAGE,25000.00,VENTURE,10.08,0.09,2,615,Yes,0
22.00,male,Associate,60501.00,0,RENT,25000.00,PERSONAL,11.83,0.41,3,687,No,1
23.00,male,High School,60754.00,1,RENT,25000.00,DEBTCONSOLIDATION,7.90,0.41,3,650,No,1
25.00,male,Bachelor,60829.00,0,RENT,25000.00,HOMEIMPROVEMENT,5.99,0.41,2,588,No,1
24.00,male,Bachelor,53825.00,2,RENT,25000.00,DEBTCONSOLIDATION,15.33,0.46,2,652,No,1
23.00,male,High School,60801.00,0,RENT,25000.00,VENTURE,11.83,0.41,4,658,No,1
22.00,male,High School,60747.00,0,RENT,25000.00,VENTURE,10.36,0.41,2,634,No,1
22.00,female,High School,61029.00,0,RENT,25000.00,VENTURE,12.23,0.41,3,623,No,1
22.00,female,Associate,63236.00,0,RENT,25000.00,EDUCATION,11.11,0.4,4,635,No,1
23.00,female,Bachelor,17149.00,0,OWN,4950.00,DEBTCONSOLIDATION,7.90,0.29,4,531,No,1
24.00,female,Master,265066.00,4,MORTGAGE,25000.00,EDUCATION,11.58,0.09,2,665,Yes,0
23.00,male,Associate,260205.00,2,MORTGAGE,21000.00,DEBTCONSOLIDATION,8.90,0.08,3,703,No,0
25.00,female,Associate,260035.00,5,MORTGAGE,25000.00,EDUCATION,16.07,0.1,3,585,Yes,0
26.00,female,Bachelor,260444.00,4,MORTGAGE,20000.00,EDUCATION,14.22,0.08,2,594,No,0
23.00,male,Bachelor,258980.00,0,MORTGAGE,35000.00,MEDICAL,14.79,0.14,3,618,Yes,0
26.00,male,High School,259081.00,2,MORTGAGE,12000.00,EDUCATION,7.88,0.05,2,626,Yes,0
23.00,male,High School,63497.00,0,RENT,25000.00,PERSONAL,13.22,0.39,2,695,No,1
26.00,female,Doctorate,56325.00,2,RENT,25000.00,DEBTCONSOLIDATION,11.86,0.44,4,690,No,1
22.00,male,Bachelor,64842.00,0,RENT,25000.00,EDUCATION,13.43,0.39,4,574,No,1
26.00,female,High School,57856.00,0,RENT,25000.00,HOMEIMPROVEMENT,15.28,0.43,2,602,No,1
23.00,male,Associate,57318.00,0,RENT,25000.00,VENTURE,17.93,0.44,2,679,No,1
23.00,female,High School,16916.00,2,MORTGAGE,1400.00,EDUCATION,9.25,0.08,4,615,No,0
21.00,male,Master,16664.00,0,OWN,4500.00,VENTURE,12.98,0.27,4,601,No,1
22.00,male,Associate,252803.00,0,MORTGAGE,16000.00,VENTURE,10.62,0.06,4,577,Yes,0
26.00,female,Associate,253061.00,3,OWN,22000.00,PERSONAL,11.83,0.09,4,588,Yes,0
26.00,male,Bachelor,58602.00,8,RENT,25000.00,VENTURE,18.43,0.43,2,595,No,1
22.00,male,High School,67012.00,2,RENT,25000.00,EDUCATION,11.01,0.37,4,653,No,1
24.00,female,Master,66643.00,3,RENT,25000.00,HOMEIMPROVEMENT,11.01,0.38,4,663,No,1
23.00,male,Bachelor,66599.00,0,RENT,25000.00,EDUCATION,11.36,0.38,3,653,No,1
23.00,male,Associate,67212.00,2,RENT,25000.00,EDUCATION,15.65,0.37,3,598,No,1
24.00,female,High School,66918.00,1,RENT,25000.00,PERSONAL,13.22,0.37,4,630,No,1
26.00,male,Associate,68066.00,2,RENT,25000.00,DEBTCONSOLIDATION,12.87,0.37,2,637,No,1
24.00,male,Associate,245545.00,1,OWN,20000.00,MEDICAL,13.04,0.08,3,660,Yes,0
23.00,male,Associate,229083.00,0,MORTGAGE,22000.00,EDUCATION,17.58,0.1,3,639,No,1
23.00,male,High School,17859.00,0,OWN,7750.00,PERSONAL,17.04,0.43,4,626,No,1
24.00,female,Associate,72608.00,3,RENT,25000.00,PERSONAL,10.99,0.34,3,612,No,1
24.00,male,Bachelor,73073.00,1,RENT,25000.00,PERSONAL,11.11,0.34,3,628,No,1
26.00,female,Master,65880.00,2,RENT,25000.00,DEBTCONSOLIDATION,14.83,0.38,2,592,No,1
23.00,male,High School,17755.00,1,OWN,4000.00,DEBTCONSOLIDATION,11.01,0.23,3,580,No,1
24.00,male,Bachelor,241180.00,3,RENT,12000.00,MEDICAL,12.69,0.05,2,634,No,0
24.00,male,Associate,240894.00,3,MORTGAGE,12000.00,HOMEIMPROVEMENT,13.49,0.05,2,678,No,0
21.00,male,High School,240980.00,0,MORTGAGE,16000.00,EDUCATION,14.65,0.07,4,557,Yes,0
25.00,male,Bachelor,65742.00,3,RENT,25000.00,HOMEIMPROVEMENT,16.82,0.38,4,672,No,1
23.00,male,Bachelor,72713.00,0,RENT,25000.00,PERSONAL,12.73,0.34,3,613,No,1
23.00,male,High School,72627.00,3,RENT,25000.00,PERSONAL,10.25,0.34,4,566,No,1
21.00,male,Associate,72843.00,0,RENT,25000.00,EDUCATION,10.99,0.34,4,718,No,1
25.00,male,High School,75504.00,4,RENT,25000.00,MEDICAL,12.73,0.33,2,484,No,1
22.00,female,High School,68824.00,0,RENT,25000.00,HOMEIMPROVEMENT,14.96,0.36,3,634,No,1
23.00,female,Bachelor,241167.00,2,MORTGAGE,28000.00,EDUCATION,11.01,0.12,2,653,Yes,0
21.00,male,Bachelor,241060.00,0,MORTGAGE,25000.00,DEBTCONSOLIDATION,13.99,0.1,2,699,No,0
24.00,male,High School,240855.00,0,MORTGAGE,24000.00,VENTURE,7.49,0.1,4,656,Yes,0
26.00,male,High School,241030.00,3,MORTGAGE,15000.00,EDUCATION,14.79,0.06,3,626,Yes,0
25.00,male,High School,240895.00,2,MORTGAGE,15500.00,DEBTCONSOLIDATION,11.99,0.06,2,659,No,0
24.00,female,High School,240932.00,4,RENT,10000.00,EDUCATION,8.49,0.04,4,604,Yes,0
24.00,male,Associate,80145.00,1,RENT,25000.00,EDUCATION,9.91,0.31,2,636,No,1
22.00,male,Master,80303.00,0,RENT,25000.00,EDUCATION,13.06,0.31,3,554,No,1
22.00,male,High School,241048.00,0,MORTGAGE,9000.00,DEBTCONSOLIDATION,6.17,0.04,4,587,Yes,0
144.00,male,Associate,241424.00,121,MORTGAGE,6000.00,EDUCATION,11.86,0.02,2,807,No,0
25.00,male,Bachelor,241005.00,4,RENT,18000.00,EDUCATION,16.32,0.07,3,708,Yes,0
25.00,female,Master,240768.00,2,MORTGAGE,12000.00,VENTURE,10.38,0.05,2,669,Yes,0
25.00,male,Associate,241201.00,2,MORTGAGE,23050.00,PERSONAL,14.35,0.1,3,578,No,0
24.00,male,Bachelor,240920.00,5,MORTGAGE,20000.00,DEBTCONSOLIDATION,11.01,0.08,3,615,No,0
24.00,female,Master,72919.00,1,RENT,25000.00,DEBTCONSOLIDATION,11.01,0.34,2,553,No,1
21.00,male,Master,18008.00,0,OWN,3000.00,HOMEIMPROVEMENT,11.01,0.17,4,635,No,1
26.00,female,Associate,81238.00,3,RENT,25000.00,PERSONAL,15.21,0.31,2,531,No,1
23.00,male,High School,80868.00,1,RENT,25000.00,EDUCATION,7.90,0.31,4,621,No,1
24.00,male,Bachelor,81537.00,1,RENT,25000.00,VENTURE,10.99,0.31,3,674,No,1
24.00,female,Associate,82741.00,0,RENT,25000.00,PERSONAL,14.09,0.3,3,688,No,1
25.00,female,High School,83901.00,3,RENT,25000.00,PERSONAL,17.49,0.3,2,597,No,1
25.00,male,Associate,240717.00,1,MORTGAGE,12000.00,EDUCATION,11.48,0.05,3,640,No,0
26.00,female,Associate,226744.00,0,MORTGAGE,20000.00,VENTURE,17.74,0.09,2,621,No,1
26.00,female,Bachelor,241114.00,5,MORTGAGE,3000.00,PERSONAL,13.92,0.01,3,608,Yes,0
25.00,male,Bachelor,85284.00,3,RENT,25000.00,EDUCATION,15.21,0.29,3,653,No,1
22.00,female,Bachelor,18152.00,0,OWN,4000.00,MEDICAL,10.99,0.22,3,585,No,1
24.00,female,High School,84871.00,3,RENT,25000.00,EDUCATION,11.86,0.29,4,569,No,1
24.00,male,Bachelor,18294.00,2,OWN,6000.00,PERSONAL,7.49,0.33,3,587,No,1
24.00,male,Bachelor,68029.00,1,RENT,25000.00,MEDICAL,16.49,0.37,4,631,No,1
25.00,female,High School,80001.00,4,RENT,25000.00,VENTURE,15.33,0.31,2,592,No,1
26.00,female,High School,79875.00,6,RENT,25000.00,HOMEIMPROVEMENT,11.58,0.31,4,679,No,1
25.00,male,High School,18449.00,1,OWN,5375.00,EDUCATION,5.79,0.29,2,645,No,1
25.00,male,Associate,88153.00,0,RENT,25000.00,MEDICAL,13.11,0.28,2,669,No,1
23.00,female,Bachelor,90109.00,0,RENT,25000.00,MEDICAL,10.36,0.28,3,653,No,1
25.00,male,Bachelor,90938.00,1,RENT,25000.00,DEBTCONSOLIDATION,10.36,0.27,2,577,No,1
24.00,male,High School,231335.00,0,RENT,22000.00,MEDICAL,11.01,0.1,2,668,Yes,0
21.00,male,Bachelor,231829.00,0,MORTGAGE,20000.00,VENTURE,6.54,0.09,4,629,No,0
25.00,female,Associate,230516.00,4,MORTGAGE,10000.00,MEDICAL,12.53,0.04,4,643,No,0
26.00,male,Bachelor,229626.00,0,MORTGAGE,15000.00,PERSONAL,11.01,0.07,3,626,No,0
22.00,male,Bachelor,228907.00,0,MORTGAGE,10000.00,VENTURE,11.01,0.04,3,560,Yes,0
24.00,male,Bachelor,90938.00,0,RENT,25000.00,EDUCATION,10.25,0.27,4,648,No,1
22.00,male,Associate,86284.00,0,RENT,25000.00,EDUCATION,15.95,0.29,4,648,No,1
26.00,male,Associate,228774.00,3,MORTGAGE,20000.00,VENTURE,12.18,0.09,4,669,Yes,0
23.00,male,High School,229027.00,2,OWN,24000.00,PERSONAL,11.83,0.1,3,536,Yes,0
23.00,male,High School,94789.00,1,RENT,25000.00,DEBTCONSOLIDATION,11.01,0.26,2,548,No,1
23.00,female,Master,94780.00,0,RENT,25000.00,VENTURE,10.62,0.26,3,667,No,1
23.00,male,High School,95298.00,0,RENT,25000.00,VENTURE,10.74,0.26,3,676,No,1
25.00,male,Associate,223944.00,1,OWN,10000.00,VENTURE,10.25,0.04,4,570,Yes,0
24.00,male,High School,222629.00,0,MORTGAGE,35000.00,EDUCATION,12.42,0.16,2,623,No,0
25.00,female,Bachelor,222973.00,2,RENT,15000.00,VENTURE,15.27,0.07,2,652,Yes,0
24.00,female,High School,75240.00,1,RENT,25000.00,MEDICAL,15.33,0.33,2,625,No,1
23.00,female,High School,96143.00,1,RENT,25000.00,VENTURE,15.21,0.26,2,642,No,1
21.00,male,Bachelor,18064.00,0,OWN,6250.00,VENTURE,14.72,0.35,2,580,No,1
24.00,male,Associate,96627.00,2,RENT,25000.00,PERSONAL,15.70,0.26,2,622,No,1
24.00,male,Bachelor,96309.00,3,RENT,25000.00,EDUCATION,13.35,0.26,4,581,No,1
21.00,female,High School,18421.00,1,MORTGAGE,1500.00,MEDICAL,11.01,0.08,4,623,No,0
24.00,male,Master,96836.00,1,RENT,25000.00,EDUCATION,6.62,0.26,2,583,No,1
26.00,male,Bachelor,96947.00,4,RENT,25000.00,DEBTCONSOLIDATION,13.61,0.26,4,645,No,1
22.00,female,Associate,222975.00,2,RENT,25000.00,MEDICAL,11.36,0.11,2,593,Yes,0
26.00,male,Associate,222985.00,3,OWN,5000.00,PERSONAL,7.68,0.02,2,659,Yes,0
24.00,female,Bachelor,223064.00,0,RENT,22000.00,HOMEIMPROVEMENT,14.46,0.1,4,655,Yes,0
23.00,male,Associate,221559.00,2,OWN,2500.00,EDUCATION,11.83,0.01,2,583,Yes,0
24.00,female,Associate,207712.00,0,MORTGAGE,20000.00,DEBTCONSOLIDATION,13.47,0.1,4,582,No,1
24.00,female,Bachelor,220872.00,1,MORTGAGE,20000.00,MEDICAL,11.49,0.09,3,504,Yes,0
22.00,male,High School,220518.00,0,MORTGAGE,1000.00,EDUCATION,11.01,0,2,551,Yes,0
25.00,female,Associate,220510.00,1,MORTGAGE,15000.00,PERSONAL,6.03,0.07,3,529,Yes,0
23.00,female,Bachelor,89818.00,0,RENT,25000.00,DEBTCONSOLIDATION,16.35,0.28,4,674,No,1
26.00,female,High School,90006.00,4,RENT,25000.00,DEBTCONSOLIDATION,11.01,0.28,4,595,No,1
25.00,female,High School,98704.00,6,RENT,25000.00,DEBTCONSOLIDATION,7.29,0.25,3,597,No,1
23.00,male,High School,98967.00,5,RENT,25000.00,MEDICAL,11.36,0.25,3,566,No,1
24.00,male,High School,99435.00,3,RENT,25000.00,VENTURE,10.25,0.25,2,666,No,0
24.00,female,Bachelor,100658.00,1,RENT,25000.00,EDUCATION,11.12,0.25,3,695,No,0
24.00,female,Bachelor,100435.00,2,RENT,25000.00,PERSONAL,12.92,0.25,3,576,Yes,0
24.00,male,High School,216925.00,5,RENT,18000.00,EDUCATION,18.64,0.08,4,651,Yes,0
23.00,female,Bachelor,216891.00,0,MORTGAGE,28000.00,PERSONAL,7.51,0.13,3,633,Yes,0
23.00,male,Master,18512.00,1,OWN,4000.00,HOMEIMPROVEMENT,16.70,0.22,2,566,No,1
22.00,male,Master,18367.00,0,OWN,2100.00,PERSONAL,11.14,0.11,4,583,No,0
22.00,female,Associate,102317.00,0,RENT,25000.00,PERSONAL,18.30,0.24,4,586,Yes,0
24.00,female,Associate,103400.00,4,RENT,25000.00,MEDICAL,10.62,0.24,4,592,Yes,0
24.00,male,Bachelor,217134.00,2,MORTGAGE,14000.00,VENTURE,11.99,0.06,2,598,Yes,0
26.00,male,Master,217024.00,1,MORTGAGE,12000.00,VENTURE,9.63,0.06,4,637,Yes,0
25.00,female,High School,172215.00,5,MORTGAGE,10000.00,MEDICAL,18.25,0.06,4,628,No,1
23.00,male,Master,18831.00,0,MORTGAGE,6000.00,DEBTCONSOLIDATION,11.01,0.32,4,667,No,1
24.00,male,Associate,105349.00,5,RENT,25000.00,HOMEIMPROVEMENT,14.84,0.24,3,621,Yes,0
24.00,male,Bachelor,91184.00,1,RENT,25000.00,VENTURE,14.70,0.27,3,668,No,1
23.00,female,High School,91886.00,1,RENT,25000.00,DEBTCONSOLIDATION,16.02,0.27,4,544,No,1
23.00,male,Associate,80452.00,2,RENT,25000.00,MEDICAL,15.37,0.31,2,699,No,1
25.00,female,Bachelor,108758.00,2,RENT,25000.00,MEDICAL,10.99,0.23,4,611,No,0
21.00,male,Associate,18916.00,0,OWN,6200.00,HOMEIMPROVEMENT,7.90,0.33,2,615,No,1
