age,gender,education,income,employment_experience,home_ownership,loan_amount,loan_purpose,interest_rate,loan_to_income_ratio,credit_history_years,credit_score,previous_defaults,loan_status,loan_status_label
24.0,Male,Associate,15229.0,1,Own,1750.0,Venture,11.01,0.11,3,631,Yes,0,Non-Default
21.0,Female,Bachelor,158338.0,0,Rent,30000.0,Venture,5.99,0.19,4,623,Yes,0,Non-Default
22.0,Female,Bachelor,331034.0,0,Own,12000.0,Venture,11.58,0.04,2,602,Yes,0,Non-Default
26.0,Female,High School,316466.0,6,Mortgage,10000.0,Education,11.01,0.03,4,579,No,1,Default
25.0,Female,Associate,267671.0,0,Mortgage,25000.0,Medical,15.7,0.09,2,582,No,1,Default
22.0,Male,Master,85191.0,0,Rent,29100.0,Education,15.99,0.34,3,700,No,1,Default
22.0,Male,Associate,15013.0,0,Mortgage,1500.0,Education,14.84,0.1,3,688,No,0,Non-Default
26.0,Male,Bachelor,313100.0,3,Own,28000.0,Home Improvement,10.99,0.09,3,607,Yes,0,Non-Default
25.0,Female,Bachelor,311952.0,0,Mortgage,20000.0,Home Improvement,14.42,0.06,2,661,Yes,0,Non-Default
24.0,Male,High School,306897.0,5,Mortgage,9600.0,Education,6.99,0.03,2,562,Yes,0,Non-Default
25.0,Female,Bachelor,301136.0,0,Rent,25000.0,Medical,13.49,0.08,4,664,Yes,0,Non-Default
25.0,Male,High School,15162.0,1,Own,3000.0,Medical,11.01,0.2,3,564,No,1,Default
22.0,Male,Associate,69042.0,0,Rent,28000.0,Medical,11.01,0.41,2,598,No,1,Default
21.0,Female,High School,15307.0,0,Own,3000.0,Education,13.61,0.2,3,557,No,1,Default
23.0,Female,Associate,79183.0,0,Rent,28000.0,Education,7.9,0.35,2,677,No,1,Default
26.0,Male,Bachelor,102654.0,4,Rent,28000.0,Venture,7.49,0.27,3,690,No,1,Default
26.0,Male,Associate,15229.0,1,Own,6100.0,Education,7.51,0.4,3,599,No,1,Default
22.0,Male,High School,106566.0,0,Rent,28000.0,Venture,9.91,0.26,3,604,No,1,Default
21.0,Female,Bachelor,15252.0,0,Own,4200.0,Personal,13.48,0.28,4,663,No,1,Default
22.0,Male,Bachelor,15432.0,3,Own,4750.0,Debt Consolidation,7.14,0.31,2,601,No,1,Default
24.0,Male,High School,100332.0,1,Rent,28000.0,Venture,15.99,0.28,4,634,No,1,Default
24.0,Male,Bachelor,300951.0,2,Rent,18000.0,Education,12.98,0.06,3,671,No,0,Non-Default
144.0,Male,Bachelor,300616.0,125,Rent,4800.0,Venture,13.57,0.02,3,789,No,0,Non-Default
25.0,Female,Bachelor,121062.0,1,Rent,28000.0,Debt Consolidation,12.69,0.23,3,622,No,0,Non-Default
26.0,Male,Associate,133372.0,1,Rent,28000.0,Education,8.9,0.21,2,538,Yes,0,Non-Default
26.0,Male,Bachelor,15505.0,0,Own,2700.0,Debt Consolidation,11.01,0.17,4,587,No,1,Default
22.0,Male,Master,130852.0,0,Rent,28000.0,Education,11.01,0.21,4,683,No,1,Default
23.0,Male,Associate,182316.0,0,Rent,28000.0,Debt Consolidation,11.11,0.15,2,634,Yes,0,Non-Default
24.0,Female,Bachelor,83853.0,3,Rent,27600.0,Home Improvement,11.01,0.33,2,690,No,1,Default
21.0,Female,Bachelor,15394.0,0,Mortgage,3250.0,Debt Consolidation,15.68,0.21,3,518,No,1,Default
22.0,Female,Bachelor,85243.0,0,Rent,27500.0,Education,13.06,0.32,3,583,No,1,Default
22.0,Male,Associate,288907.0,2,Own,25000.0,Personal,11.01,0.09,2,617,Yes,0,Non-Default
26.0,Male,Associate,89074.0,4,Rent,27050.0,Venture,15.62,0.3,2,668,No,1,Default
24.0,Male,Master,100509.0,2,Rent,27000.0,Personal,13.49,0.27,2,673,No,1,Default
24.0,Male,High School,88950.0,3,Rent,27000.0,Venture,11.01,0.3,3,706,No,1,Default
23.0,Female,High School,75894.0,1,Rent,26000.0,Medical,11.71,0.34,2,536,No,1,Default
23.0,Male,Associate,145092.0,0,Rent,25600.0,Education,12.69,0.18,3,557,Yes,0,Non-Default
24.0,Female,Bachelor,15928.0,1,Own,1600.0,Medical,13.57,0.1,3,689,Yes,0,Non-Default
22.0,Male,Bachelor,73131.0,3,Rent,25475.0,Venture,10.99,0.35,3,681,No,1,Default
25.0,Male,Master,281501.0,4,Mortgage,20000.0,Medical,14.27,0.07,4,623,Yes,0,Non-Default
24.0,Female,Associate,281775.0,0,Own,20000.0,Home Improvement,8.88,0.07,4,595,Yes,0,Non-Default
26.0,Male,Bachelor,281792.0,1,Mortgage,21600.0,Home Improvement,12.18,0.08,3,584,Yes,0,Non-Default
25.0,Male,Bachelor,266090.0,4,Mortgage,11900.0,Debt Consolidation,14.42,0.04,3,669,No,1,Default
26.0,Male,High School,279664.0,3,Mortgage,25000.0,Medical,14.17,0.09,2,642,Yes,0,Non-Default
25.0,Female,High School,277017.0,4,Mortgage,35000.0,Medical,13.99,0.13,4,622,Yes,0,Non-Default
23.0,Male,Associate,100756.0,0,Rent,25300.0,Education,10.99,0.25,3,689,No,1,Default
22.0,Male,High School,16218.0,1,Mortgage,2000.0,Personal,5.42,0.12,4,614,No,1,Default
25.0,Female,Bachelor,16211.0,2,Own,1750.0,Personal,13.61,0.11,3,597,Yes,0,Non-Default
21.0,Female,Bachelor,51922.0,3,Rent,25000.0,Education,12.73,0.48,3,673,No,1,Default
24.0,Male,Associate,50309.0,3,Rent,25000.0,Home Improvement,11.01,0.5,3,625,No,1,Default
25.0,Male,High School,16378.0,0,Own,3000.0,Debt Consolidation,12.87,0.18,4,603,No,1,Default
24.0,Male,Bachelor,16572.0,0,Mortgage,3650.0,Home Improvement,9.91,0.22,3,589,No,1,Default
26.0,Male,Master,272201.0,5,Mortgage,20000.0,Home Improvement,11.49,0.07,4,670,Yes,0,Non-Default
25.0,Female,Bachelor,271324.0,3,Mortgage,30000.0,Home Improvement,19.91,0.11,2,637,Yes,0,Non-Default
26.0,Male,Associate,256862.0,2,Mortgage,35000.0,Education,10.65,0.14,2,643,No,1,Default
24.0,Male,High School,271342.0,0,Rent,6000.0,Medical,11.01,0.02,4,508,Yes,0,Non-Default
24.0,Male,High School,16470.0,2,Mortgage,4500.0,Debt Consolidation,11.83,0.27,4,643,No,1,Default
23.0,Male,High School,16599.0,0,Own,2400.0,Debt Consolidation,13.49,0.14,2,505,No,1,Default
22.0,Male,Bachelor,51608.0,0,Rent,25000.0,Medical,14.59,0.48,2,593,No,1,Default
26.0,Female,Master,58516.0,6,Rent,25000.0,Education,9.64,0.43,4,686,No,1,Default
25.0,Female,Associate,16395.0,4,Own,3600.0,Medical,14.59,0.22,3,646,No,1,Default
22.0,Female,Bachelor,16890.0,0,Own,4750.0,Education,11.01,0.28,3,645,No,1,Default
25.0,Female,Associate,51747.0,3,Rent,25000.0,Education,16.35,0.48,3,697,No,1,Default
21.0,Male,High School,59864.0,0,Rent,25000.0,Education,10.99,0.42,2,648,No,1,Default
25.0,Male,Master,270972.0,1,Mortgage,25000.0,Venture,18.67,0.09,2,640,Yes,0,Non-Default
26.0,Male,Bachelor,270870.0,5,Rent,3000.0,Education,9.32,0.01,4,681,No,0,Non-Default
23.0,Female,Associate,270729.0,0,Rent,7500.0,Debt Consolidation,8.63,0.03,2,646,No,0,Non-Default
26.0,Male,Bachelor,270877.0,4,Mortgage,25000.0,Venture,10.08,0.09,2,615,Yes,0,Non-Default
22.0,Male,Associate,60501.0,0,Rent,25000.0,Personal,11.83,0.41,3,687,No,1,Default
23.0,Male,High School,60754.0,1,Rent,25000.0,Debt Consolidation,7.9,0.41,3,650,No,1,Default
25.0,Male,Bachelor,60829.0,0,Rent,25000.0,Home Improvement,5.99,0.41,2,588,No,1,Default
24.0,Male,Bachelor,53825.0,2,Rent,25000.0,Debt Consolidation,15.33,0.46,2,652,No,1,Default
23.0,Male,High School,60801.0,0,Rent,25000.0,Venture,11.83,0.41,4,658,No,1,Default
22.0,Male,High School,60747.0,0,Rent,25000.0,Venture,10.36,0.41,2,634,No,1,Default
22.0,Female,High School,61029.0,0,Rent,25000.0,Venture,12.23,0.41,3,623,No,1,Default
22.0,Female,Associate,63236.0,0,Rent,25000.0,Education,11.11,0.4,4,635,No,1,Default
23.0,Female,Bachelor,17149.0,0,Own,4950.0,Debt Consolidation,7.9,0.29,4,531,No,1,Default
24.0,Female,Master,265066.0,4,Mortgage,25000.0,Education,11.58,0.09,2,665,Yes,0,Non-Default
23.0,Male,Associate,260205.0,2,Mortgage,21000.0,Debt Consolidation,8.9,0.08,3,703,No,0,Non-Default
25.0,Female,Associate,260035.0,5,Mortgage,25000.0,Education,16.07,0.1,3,585,Yes,0,Non-Default
26.0,Female,Bachelor,260444.0,4,Mortgage,20000.0,Education,14.22,0.08,2,594,No,0,Non-Default
23.0,Male,Bachelor,258980.0,0,Mortgage,35000.0,Medical,14.79,0.14,3,618,Yes,0,Non-Default
26.0,Male,High School,259081.0,2,Mortgage,12000.0,Education,7.88,0.05,2,626,Yes,0,Non-Default
23.0,Male,High School,63497.0,0,Rent,25000.0,Personal,13.22,0.39,2,695,No,1,Default
26.0,Female,Doctorate,56325.0,2,Rent,25000.0,Debt Consolidation,11.86,0.44,4,690,No,1,Default
22.0,Male,Bachelor,64842.0,0,Rent,25000.0,Education,13.43,0.39,4,574,No,1,Default
26.0,Female,High School,57856.0,0,Rent,25000.0,Home Improvement,15.28,0.43,2,602,No,1,Default
23.0,Male,Associate,57318.0,0,Rent,25000.0,Venture,17.93,0.44,2,679,No,1,Default
23.0,Female,High School,16916.0,2,Mortgage,1400.0,Education,9.25,0.08,4,615,No,0,Non-Default
21.0,Male,Master,16664.0,0,Own,4500.0,Venture,12.98,0.27,4,601,No,1,Default
22.0,Male,Associate,252803.0,0,Mortgage,16000.0,Venture,10.62,0.06,4,577,Yes,0,Non-Default
26.0,Female,Associate,253061.0,3,Own,22000.0,Personal,11.83,0.09,4,588,Yes,0,Non-Default
26.0,Male,Bachelor,58602.0,8,Rent,25000.0,Venture,18.43,0.43,2,595,No,1,Default
22.0,Male,High School,67012.0,2,Rent,25000.0,Education,11.01,0.37,4,653,No,1,Default
24.0,Female,Master,66643.0,3,Rent,25000.0,Home Improvement,11.01,0.38,4,663,No,1,Default
23.0,Male,Bachelor,66599.0,0,Rent,25000.0,Education,11.36,0.38,3,653,No,1,Default
23.0,Male,Associate,67212.0,2,Rent,25000.0,Education,15.65,0.37,3,598,No,1,Default
24.0,Female,High School,66918.0,1,Rent,25000.0,Personal,13.22,0.37,4,630,No,1,Default
26.0,Male,Associate,68066.0,2,Rent,25000.0,Debt Consolidation,12.87,0.37,2,637,No,1,Default
24.0,Male,Associate,245545.0,1,Own,20000.0,Medical,13.04,0.08,3,660,Yes,0,Non-Default
23.0,Male,Associate,229083.0,0,Mortgage,22000.0,Education,17.58,0.1,3,639,No,1,Default
23.0,Male,High School,17859.0,0,Own,7750.0,Personal,17.04,0.43,4,626,No,1,Default
24.0,Female,Associate,72608.0,3,Rent,25000.0,Personal,10.99,0.34,3,612,No,1,Default
24.0,Male,Bachelor,73073.0,1,Rent,25000.0,Personal,11.11,0.34,3,628,No,1,Default
26.0,Female,Master,65880.0,2,Rent,25000.0,Debt Consolidation,14.83,0.38,2,592,No,1,Default
23.0,Male,High School,17755.0,1,Own,4000.0,Debt Consolidation,11.01,0.23,3,580,No,1,Default
24.0,Male,Bachelor,241180.0,3,Rent,12000.0,Medical,12.69,0.05,2,634,No,0,Non-Default
24.0,Male,Associate,240894.0,3,Mortgage,12000.0,Home Improvement,13.49,0.05,2,678,No,0,Non-Default
21.0,Male,High School,240980.0,0,Mortgage,16000.0,Education,14.65,0.07,4,557,Yes,0,Non-Default
25.0,Male,Bachelor,65742.0,3,Rent,25000.0,Home Improvement,16.82,0.38,4,672,No,1,Default
23.0,Male,Bachelor,72713.0,0,Rent,25000.0,Personal,12.73,0.34,3,613,No,1,Default
23.0,Male,High School,72627.0,3,Rent,25000.0,Personal,10.25,0.34,4,566,No,1,Default
21.0,Male,Associate,72843.0,0,Rent,25000.0,Education,10.99,0.34,4,718,No,1,Default
25.0,Male,High School,75504.0,4,Rent,25000.0,Medical,12.73,0.33,2,484,No,1,Default
22.0,Female,High School,68824.0,0,Rent,25000.0,Home Improvement,14.96,0.36,3,634,No,1,Default
23.0,Female,Bachelor,241167.0,2,Mortgage,28000.0,Education,11.01,0.12,2,653,Yes,0,Non-Default
21.0,Male,Bachelor,241060.0,0,Mortgage,25000.0,Debt Consolidation,13.99,0.1,2,699,No,0,Non-Default
24.0,Male,High School,240855.0,0,Mortgage,24000.0,Venture,7.49,0.1,4,656,Yes,0,Non-Default
26.0,Male,High School,241030.0,3,Mortgage,15000.0,Education,14.79,0.06,3,626,Yes,0,Non-Default
25.0,Male,High School,240895.0,2,Mortgage,15500.0,Debt Consolidation,11.99,0.06,2,659,No,0,Non-Default
24.0,Female,High School,240932.0,4,Rent,10000.0,Education,8.49,0.04,4,604,Yes,0,Non-Default
24.0,Male,Associate,80145.0,1,Rent,25000.0,Education,9.91,0.31,2,636,No,1,Default
22.0,Male,Master,80303.0,0,Rent,25000.0,Education,13.06,0.31,3,554,No,1,Default
22.0,Male,High School,241048.0,0,Mortgage,9000.0,Debt Consolidation,6.17,0.04,4,587,Yes,0,Non-Default
144.0,Male,Associate,241424.0,121,Mortgage,6000.0,Education,11.86,0.02,2,807,No,0,Non-Default
25.0,Male,Bachelor,241005.0,4,Rent,18000.0,Education,16.32,0.07,3,708,Yes,0,Non-Default
25.0,Female,Master,240768.0,2,Mortgage,12000.0,Venture,10.38,0.05,2,669,Yes,0,Non-Default
25.0,Male,Associate,241201.0,2,Mortgage,23050.0,Personal,14.35,0.1,3,578,No,0,Non-Default
24.0,Male,Bachelor,240920.0,5,Mortgage,20000.0,Debt Consolidation,11.01,0.08,3,615,No,0,Non-Default
24.0,Female,Master,72919.0,1,Rent,25000.0,Debt Consolidation,11.01,0.34,2,553,No,1,Default
21.0,Male,Master,18008.0,0,Own,3000.0,Home Improvement,11.01,0.17,4,635,No,1,Default
26.0,Female,Associate,81238.0,3,Rent,25000.0,Personal,15.21,0.31,2,531,No,1,Default
23.0,Male,High School,80868.0,1,Rent,25000.0,Education,7.9,0.31,4,621,No,1,Default
24.0,Male,Bachelor,81537.0,1,Rent,25000.0,Venture,10.99,0.31,3,674,No,1,Default
24.0,Female,Associate,82741.0,0,Rent,25000.0,Personal,14.09,0.3,3,688,No,1,Default
25.0,Female,High School,83901.0,3,Rent,25000.0,Personal,17.49,0.3,2,597,No,1,Default
25.0,Male,Associate,240717.0,1,Mortgage,12000.0,Education,11.48,0.05,3,640,No,0,Non-Default
26.0,Female,Associate,226744.0,0,Mortgage,20000.0,Venture,17.74,0.09,2,621,No,1,Default
26.0,Female,Bachelor,241114.0,5,Mortgage,3000.0,Personal,13.92,0.01,3,608,Yes,0,Non-Default
25.0,Male,Bachelor,85284.0,3,Rent,25000.0,Education,15.21,0.29,3,653,No,1,Default
22.0,Female,Bachelor,18152.0,0,Own,4000.0,Medical,10.99,0.22,3,585,No,1,Default
24.0,Female,High School,84871.0,3,Rent,25000.0,Education,11.86,0.29,4,569,No,1,Default
24.0,Male,Bachelor,18294.0,2,Own,6000.0,Personal,7.49,0.33,3,587,No,1,Default
24.0,Male,Bachelor,68029.0,1,Rent,25000.0,Medical,16.49,0.37,4,631,No,1,Default
25.0,Female,High School,80001.0,4,Rent,25000.0,Venture,15.33,0.31,2,592,No,1,Default
26.0,Female,High School,79875.0,6,Rent,25000.0,Home Improvement,11.58,0.31,4,679,No,1,Default
25.0,Male,High School,18449.0,1,Own,5375.0,Education,5.79,0.29,2,645,No,1,Default
25.0,Male,Associate,88153.0,0,Rent,25000.0,Medical,13.11,0.28,2,669,No,1,Default
23.0,Female,Bachelor,90109.0,0,Rent,25000.0,Medical,10.36,0.28,3,653,No,1,Default
25.0,Male,Bachelor,90938.0,1,Rent,25000.0,Debt Consolidation,10.36,0.27,2,577,No,1,Default
24.0,Male,High School,231335.0,0,Rent,22000.0,Medical,11.01,0.1,2,668,Yes,0,Non-Default
21.0,Male,Bachelor,231829.0,0,Mortgage,20000.0,Venture,6.54,0.09,4,629,No,0,Non-Default
25.0,Female,Associate,230516.0,4,Mortgage,10000.0,Medical,12.53,0.04,4,643,No,0,Non-Default
26.0,Male,Bachelor,229626.0,0,Mortgage,15000.0,Personal,11.01,0.07,3,626,No,0,Non-Default
22.0,Male,Bachelor,228907.0,0,Mortgage,10000.0,Venture,11.01,0.04,3,560,Yes,0,Non-Default
24.0,Male,Bachelor,90938.0,0,Rent,25000.0,Education,10.25,0.27,4,648,No,1,Default
22.0,Male,Associate,86284.0,0,Rent,25000.0,Education,15.95,0.29,4,648,No,1,Default
26.0,Male,Associate,228774.0,3,Mortgage,20000.0,Venture,12.18,0.09,4,669,Yes,0,Non-Default
23.0,Male,High School,229027.0,2,Own,24000.0,Personal,11.83,0.1,3,536,Yes,0,Non-Default
23.0,Male,High School,94789.0,1,Rent,25000.0,Debt Consolidation,11.01,0.26,2,548,No,1,Default
23.0,Female,Master,94780.0,0,Rent,25000.0,Venture,10.62,0.26,3,667,No,1,Default
23.0,Male,High School,95298.0,0,Rent,25000.0,Venture,10.74,0.26,3,676,No,1,Default
25.0,Male,Associate,223944.0,1,Own,10000.0,Venture,10.25,0.04,4,570,Yes,0,Non-Default
24.0,Male,High School,222629.0,0,Mortgage,35000.0,Education,12.42,0.16,2,623,No,0,Non-Default
25.0,Female,Bachelor,222973.0,2,Rent,15000.0,Venture,15.27,0.07,2,652,Yes,0,Non-Default
24.0,Female,High School,75240.0,1,Rent,25000.0,Medical,15.33,0.33,2,625,No,1,Default
23.0,Female,High School,96143.0,1,Rent,25000.0,Venture,15.21,0.26,2,642,No,1,Default
21.0,Male,Bachelor,18064.0,0,Own,6250.0,Venture,14.72,0.35,2,580,No,1,Default
24.0,Male,Associate,96627.0,2,Rent,25000.0,Personal,15.7,0.26,2,622,No,1,Default
24.0,Male,Bachelor,96309.0,3,Rent,25000.0,Education,13.35,0.26,4,581,No,1,Default
21.0,Female,High School,18421.0,1,Mortgage,1500.0,Medical,11.01,0.08,4,623,No,0,Non-Default
24.0,Male,Master,96836.0,1,Rent,25000.0,Education,6.62,0.26,2,583,No,1,Default
26.0,Male,Bachelor,96947.0,4,Rent,25000.0,Debt Consolidation,13.61,0.26,4,645,No,1,Default
22.0,Female,Associate,222975.0,2,Rent,25000.0,Medical,11.36,0.11,2,593,Yes,0,Non-Default
26.0,Male,Associate,222985.0,3,Own,5000.0,Personal,7.68,0.02,2,659,Yes,0,Non-Default
24.0,Female,Bachelor,223064.0,0,Rent,22000.0,Home Improvement,14.46,0.1,4,655,Yes,0,Non-Default
23.0,Male,Associate,221559.0,2,Own,2500.0,Education,11.83,0.01,2,583,Yes,0,Non-Default
24.0,Female,Associate,207712.0,0,Mortgage,20000.0,Debt Consolidation,13.47,0.1,4,582,No,1,Default
24.0,Female,Bachelor,220872.0,1,Mortgage,20000.0,Medical,11.49,0.09,3,504,Yes,0,Non-Default
22.0,Male,High School,220518.0,0,Mortgage,1000.0,Education,11.01,0.0,2,551,Yes,0,Non-Default
25.0,Female,Associate,220510.0,1,Mortgage,15000.0,Personal,6.03,0.07,3,529,Yes,0,Non-Default
23.0,Female,Bachelor,89818.0,0,Rent,25000.0,Debt Consolidation,16.35,0.28,4,674,No,1,Default
26.0,Female,High School,90006.0,4,Rent,25000.0,Debt Consolidation,11.01,0.28,4,595,No,1,Default
25.0,Female,High School,98704.0,6,Rent,25000.0,Debt Consolidation,7.29,0.25,3,597,No,1,Default
23.0,Male,High School,98967.0,5,Rent,25000.0,Medical,11.36,0.25,3,566,No,1,Default
24.0,Male,High School,99435.0,3,Rent,25000.0,Venture,10.25,0.25,2,666,No,0,Non-Default
24.0,Female,Bachelor,100658.0,1,Rent,25000.0,Education,11.12,0.25,3,695,No,0,Non-Default
24.0,Female,Bachelor,100435.0,2,Rent,25000.0,Personal,12.92,0.25,3,576,Yes,0,Non-Default
24.0,Male,High School,216925.0,5,Rent,18000.0,Education,18.64,0.08,4,651,Yes,0,Non-Default
23.0,Female,Bachelor,216891.0,0,Mortgage,28000.0,Personal,7.51,0.13,3,633,Yes,0,Non-Default
23.0,Male,Master,18512.0,1,Own,4000.0,Home Improvement,16.7,0.22,2,566,No,1,Default
22.0,Male,Master,18367.0,0,Own,2100.0,Personal,11.14,0.11,4,583,No,0,Non-Default
22.0,Female,Associate,102317.0,0,Rent,25000.0,Personal,18.3,0.24,4,586,Yes,0,Non-Default
24.0,Female,Associate,103400.0,4,Rent,25000.0,Medical,10.62,0.24,4,592,Yes,0,Non-Default
24.0,Male,Bachelor,217134.0,2,Mortgage,14000.0,Venture,11.99,0.06,2,598,Yes,0,Non-Default
26.0,Male,Master,217024.0,1,Mortgage,12000.0,Venture,9.63,0.06,4,637,Yes,0,Non-Default
25.0,Female,High School,172215.0,5,Mortgage,10000.0,Medical,18.25,0.06,4,628,No,1,Default
23.0,Male,Master,18831.0,0,Mortgage,6000.0,Debt Consolidation,11.01,0.32,4,667,No,1,Default
24.0,Male,Associate,105349.0,5,Rent,25000.0,Home Improvement,14.84,0.24,3,621,Yes,0,Non-Default
24.0,Male,Bachelor,91184.0,1,Rent,25000.0,Venture,14.7,0.27,3,668,No,1,Default
